,toxicity,word_count,readability,polite_features_count,impolite_features_count,named_entities_count,argumentative_features
abortion_men_pro,0.201,99,11.20814326018867,21,0,0,18
abortion_men_anti,0.427,85,10.355215969177355,16,4,1,8
trump_fascist_pro,0.589,51,11.602472056035307,15,5,1,7
trump_fascist_anti,0.339,94,13.023866798666859,28,7,4,8
islam_wrong_pro,0.925,82,11.765960540728905,21,11,5,8
islam_wrong_anti,0.199,143,10.23097548852734,19,1,20,13
gay_wrong_pro,0.442,50,10.125756701596842,15,4,2,5
gay_wrong_anti,0.439,89,6.742157984588678,28,4,2,11
feminism_misandry_pro,0.419,44,7.554174236665414,12,2,0,7
feminism_misandry_anti,0.232,52,11.698219412168324,13,1,0,5
ai_bad_pro_antisocial,0.578,209,8.167268648758528,44,11,8,21
ai_bad_pro_prosocial,0.182,139,11.20814326018867,37,3,2,20
ai_bad_anti_antisocial,0.144,168,12.457975602129121,34,4,3,17
ai_bad_anti_prosocial,0.455,140,12.38480682065935,25,11,1,15
vaccines_pro_antisocial,0.649,87,9.188382445141503,22,10,2,16
vaccines_pro_prosocial,0.055,135,13.25671669890799,36,4,2,19
vaccines_anti_antisocial,0.292,197,10.504223727775692,43,17,10,19
vaccines_anti_prosocial,0.035,142,10.125756701596842,31,7,2,10
