,toxicity,word_count,readability,polite_features_count,impolite_features_count,named_entities_count,argumentative_features
abortion_men_pro,0.251,112,9.957137785484202,21,3,1,17
abortion_men_anti,0.401,153,15.414825405933506,39,7,2,27
trump_fascist_pro,0.557,87,13.295006501635747,28,8,2,9
trump_fascist_anti,0.603,98,12.540900571622839,29,10,5,8
islam_wrong_pro,0.38,101,13.25671669890799,23,6,7,13
islam_wrong_anti,0.442,151,9.851270322608155,24,4,19,15
gay_wrong_pro,0.378,99,15.470042427545799,23,5,1,10
gay_wrong_anti,0.44,90,6.742157984588678,28,4,3,11
feminism_misandry_pro,0.367,69,9.725611199111238,23,1,1,15
feminism_misandry_anti,0.222,54,11.698219412168324,13,1,1,5
ai_bad_pro_antisocial,0.765,153,6.742157984588678,34,23,5,13
ai_bad_pro_prosocial,0.113,154,12.457975602129121,41,4,1,29
ai_bad_anti_antisocial,0.597,145,11.741389052700956,23,15,3,12
ai_bad_anti_prosocial,0.071,151,15.470042427545799,36,8,2,25
vaccines_pro_antisocial,0.572,88,9.188382445141503,22,11,3,16
vaccines_pro_prosocial,0.053,138,13.484332010920856,36,4,3,20
vaccines_anti_antisocial,0.589,136,9.444778638647367,33,14,8,8
vaccines_anti_prosocial,0.048,160,11.20814326018867,49,5,3,23
